userName,mentionName
Meldawson6,@UNEP
Meldawson6,@antonioguterres
Meldawson6,@andersen_inger
Meldawson6,@OHCHRAsia
Meldawson6,@OHCHR_Pacific
Meldawson6,@WHO
Meldawson6,@UNFPAasia
Meldawson6,@jwacarrollNZ 
william15898879,@hosono_54 
bprophetable,@AFP 
FestiveWarChild,@RCdeWinter 
efmthismorning,@kyodo_english 
HowesNathan,@JapanGov
HowesNathan,@Olympics-sized 
farraboots,@Brown666W
farraboots,@ricmontg
farraboots,@jackiebmsp 
news_rapha,@BrunoLeMaire
news_rapha,@EmmanuelMacron 
news_rapha,@EmmanuelMacron: 
WIONews,@palkisu 
WIONews,@Shobhit10Mittal 
yangxintong450,@elonmusk
yangxintong450,@lexfridman 
yangxintong450,@elonmusk
yangxintong450,@lexfridman 
Cecalli_Helper,@iaeaorg 
Cecalli_Helper,@rafaelmgrossi
Cecalli_Helper,@iaeaorg 
Ty84188090,@japan
Ty84188090,@Chernobyl 
OnOneArts,@UN 
UpNorthHiker,@hydroxy_group
UpNorthHiker,@SecBlinken
UpNorthHiker,@iaeaorg 
UpNorthHiker,@GbaNewsflash 
UpNorthHiker,@CBCNews 
ChildrensHD,@Greenpeace: 
UN_News_Centre,@UN_News_Centre
UN_News_Centre,@UNHumanRights
UN_News_Centre,@iaeaorg 
UN_News_Centre,@UN 
VivekAnandSales,@BBCWorld 
kevint905,@YouTube 
kevint905,@YouTube 
kevint905,@YouTube 
dr_rita39,@globaltimesnews 
dr_rita39,@MFA_China 
ArabNewsjp,"@KatsunobuKato1, "
EppleMedia,@UN_SPExperts 
simonahac,@moylecroft 
DimitrisEln,@GreenpeaceUK
DimitrisEln,@Greenpeace 
DimitrisEln,@Greenpeace
DimitrisEln,@GreenpeaceUK 
EnergyLiveNews,@zlj517 
Rakeshr04276591,@globaltimesnews 
GerhardKeller7,@DLR_next
GerhardKeller7,@ErdtrabantMaria 
denz2021,@StanleyCohenLaw 
AreYouAwaQe,@disclosetv 
RosMathieson,@bpolitics 
RosMathieson,@bpolitics 
thorsome1,@disclosetv 
DorseyDouchebag,@disclosetv 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
PulpNews,@ 
dw_environment,"@Greenpeace,"
dw_environment,"@ShaunBurnie, "
dw_environment,@YonhapNews 
a8bitcoin,@MFA_China 
Dudomo1,@SpokespersonCHN 
Raman09591471,@rafaelmgrossi
Raman09591471,@iaeaorg
Raman09591471,@iAEorg 
mlnangalama,@PerilOfAfrica 
pberto,@dentsuintl 
dorfman_p,@commondreams 
