餐廳名字,地址,地區,價格,餐廳種類,好評,差評,評論數,評分,人均價格,緯度,經度
韓珍 (帝國中心),尖沙咀麼地道68號帝國中心地下高層UG43號舖,尖沙咀,$201-400,韓國菜,209,4,246,4.5,300,22.2988,114.1722
Dear Coffee & Bakery,大圍積運街2-8號海福花園地下22號舖,大圍,$51-100,多國菜,147,19,247,3.5,75,22.3759,114.1786
Westwood Carvery,中環蘭桂坊和安里2號地舖,中環,$201-400,美國菜,214,1,248,4.0,300,22.282598,114.16674
Amici,中環士丹利街11號Stanley 11 8樓,中環,$201-400,意大利菜,220,5,248,4.0,300,22.282598,114.16674
Burger Joys (第一街),西環西營盤第一街27-29號太益樓地舖,西環,$101-200,美國菜,218,3,249,4.0,150,22.28352441,114.1401891
牛角次男坊 (荃灣廣場),荃灣大壩街4-30號荃灣廣場1樓112B-113號舖,荃灣,$51-100,日本菜,143,12,250,4.0,75,22.37806,114.10528
牛大人台灣火鍋吃到飽 (大鴻輝(荃灣)中心),荃灣眾安街55號大鴻輝(荃灣)中心16樓,荃灣,$101-200,台灣菜,208,3,251,4.5,150,22.37806,114.10528
Su Casa,沙田石門安群街一號京瑞廣場二期地下G03號舖,沙田,$101-200,西式,213,3,252,4.5,150,22.3827,114.19191
The Right Place (舊墟直街),大埔舊墟直街30號美利大廈地下13號舖,大埔,$101-200,西式,223,4,252,4.5,150,22.448,114.16946000000002
樂天皇朝 (青衣城),青衣青敬路33號青衣城3樓310B號舖,青衣,$101-200,粵菜 (廣東),179,10,252,4.0,150,22.3475,114.1025
MoMo Café,沙田安平街1號香港沙田萬怡酒店,沙田,$401-800,多國菜,122,30,252,3.5,600,22.3827,114.19191
札幌拉麵 Miso No.1,荃灣楊屋道18號荃新天地二期UG59號舖,荃灣,$51-100,日本菜,184,24,252,3.5,75,22.37806,114.10528
玉子造屋,將軍澳唐德街9號將軍澳中心地下B03C號舖,將軍澳,$51-100,日本菜,149,27,253,3.5,75,22.309093,114.261688
食之劇場餐廳,西貢白沙灣碼頭酒店地下,西貢,$801以上,日本菜,230,3,253,4.5,801,22.3837,114.2708
湘川滬 (置富嘉湖),天水圍天恩路12-18號置富嘉湖二期2樓216A及F舖,天水圍,$101-200,川菜 (四川),168,18,254,4.0,150,22.4606,114.0042
大滾友火鍋,元朗鳳攸南街9號好順利大廈一座地下G4-G5號舖,元朗,$201-400,港式,217,10,254,4.5,300,22.44444,114.02583
Pickabowl (D2 Place),荔枝角長義街9號D2 Place 一期1樓112號舖,荔枝角,$51-100,多國菜,225,1,254,4.5,75,22.33611,114.13361
金子半之助 (新都會廣場),葵芳興芳路223號新都會廣場1樓107-108號舖,葵芳,$51-100,日本菜,129,24,255,4.0,75,22.3578,114.1298
金鶴拉麵 (蜆殼街),天后炮台山蜆殼街6-16號寶榮大廈地下E號舖,天后,$101-200,日本菜,229,2,256,4.5,150,22.2824,114.1922
8Five2 Restobar,尖沙咀天文臺道8號地下2號舖,尖沙咀,$101-200,墨西哥菜,226,1,256,4.5,150,22.2988,114.1722
El Cerdo (大壩街),荃灣大壩街77號地舖,荃灣,$201-400,西班牙菜,204,8,256,4.0,300,22.37806,114.10528
阿叔泰麵 (西菁街),元朗西菁街20號益輝大廈地下3號舖,元朗,$51-100,泰國菜,171,11,256,4.0,75,22.44444,114.02583
MOO MOO Plus,銅鑼灣百德新街59-65號Fashion Walk地下C&D號舖,銅鑼灣,$101-200,西式,229,1,257,4.5,150,22.28056,114.18667
但馬屋,葵芳興芳路223號新都會廣場2樓251-255號舖,葵芳,$101-200,日本菜,183,7,257,4.0,150,22.3578,114.1298
Omotesando Koffee,灣仔皇后大道東200號利東街G24-25號舖,灣仔,$50以下,西式,128,18,257,3.5,50,22.2775,114.17306
豐鍋雞煲 (京瑞廣場),沙田石門安群街3號京瑞廣場一期1樓137號舖,沙田,$101-200,港式,227,2,258,4.5,150,22.3827,114.19191
3rd Space,上環差館上街16號地舖,上環,$101-200,多國菜,197,12,259,4.0,150,22.28694,114.14861
鐵板燒雪舟,銅鑼灣開平道1號Cubus 8樓,銅鑼灣,$401-800,日本菜,240,7,261,4.5,600,22.28056,114.18667
彩,元朗建德街26號益利大廈地下14號舖,元朗,$51-100,日本菜,176,12,261,4.0,75,22.44444,114.02583
Mother of Pizzas,銅鑼灣禮頓道13-19號地舖,銅鑼灣,$51-100,意大利菜,187,11,263,4.0,75,22.28056,114.18667
L.D.K. by Ufufu Café (新都會廣場),葵芳興芳路223號新都會廣場3樓345A號舖,葵芳,$101-200,日本菜,141,10,264,4.0,150,22.3578,114.1298
享慢煮意,中環善慶街9號地舖,中環,$101-200,法國菜,189,17,265,4.0,150,22.282598,114.16674
Little Fresh Cafe & Bar,旺角登打士街36號恆威商業中心18樓,旺角,$101-200,多國菜,232,0,265,4.5,150,22.315031,114.173134
新記煲仔雞粥,元朗又新街60號地下D2號舖,元朗,$51-100,港式,207,15,265,4.0,75,22.44444,114.02583
老媽拌麵 (將軍澳中心),將軍澳唐德街9號將軍澳中心L1樓133號舖,將軍澳,$51-100,台灣菜,189,18,265,4.0,75,22.309093,114.261688
小島•澳門菜,銅鑼灣勿地臣街1號時代廣場13樓1302號舖,銅鑼灣,$101-200,葡國菜,222,13,266,4.0,150,22.28056,114.18667
飲茶 (南豐大廈),中環德輔道中173號南豐大廈2樓1-2號舖,中環,$101-200,粵菜 (廣東),143,12,266,3.5,150,22.282598,114.16674
Honbo,灣仔日街6-7號日新樓地下B號舖,灣仔,$51-100,美國菜,218,9,268,4.0,75,22.2775,114.17306
雲壽司,銅鑼灣謝斐道506-508號聯成商業中心地下B號舖,銅鑼灣,$101-200,日本菜,242,1,269,4.5,150,22.28056,114.18667
普慶餐廳,佐敦彌敦道380號香港逸東酒店B1樓層,佐敦,$401-800,多國菜,164,20,269,4.0,600,22.3049,114.1692
新記雞粥,旺角花園街1號鴻禧大廈地下5號舖,旺角,$51-100,港式,238,2,269,4.0,75,22.315031,114.173134
夏雪,大圍積富街31號益富閣地下3號舖,大圍,$51-100,西式,176,9,269,4.0,75,22.3759,114.1786
古琴雅苑 (QRE Plaza),灣仔皇后大道東202號QRE Plaza 19樓,灣仔,$101-200,京菜 (官府菜),185,16,270,4.0,150,22.2775,114.17306
秘 (偉晴街),佐敦偉晴街11號地下,佐敦,$101-200,日本菜,212,3,270,4.0,150,22.3049,114.1692
Felice Cafe & Pasta,銅鑼灣希雲街12號地舖,銅鑼灣,$51-100,西式,248,4,270,4.0,75,22.28056,114.18667
團日式拉麵,荃灣大屋街18號金豐閣地下1-2號舖,荃灣,$51-100,日本菜,213,5,271,4.0,75,22.37806,114.10528
金鶴拉麵 (荷李活道),中環荷李活道39號地舖,中環,$101-200,日本菜,239,1,272,4.5,150,22.282598,114.16674
新記雞粥,筲箕灣筲箕灣道307號地下及1樓,筲箕灣,$51-100,粵菜 (廣東),202,16,272,4.0,75,22.2787,114.2286
金樂軒雞煲魚鍋,北角和富道114號康華大廈地下C3號舖,北角,$101-200,川菜 (四川),250,3,273,4.5,150,22.2885,114.1928
火鍋撚 (雲咸街),中環雲咸街46-48號雲明行3樓,中環,$201-400,港式,228,8,273,4.5,300,22.282598,114.16674
小曼谷泰國美食站,銅鑼灣謝斐道535號Tower 535地庫B02舖,銅鑼灣,$51-100,泰國菜,253,4,273,4.5,75,22.28056,114.18667
KOKO Coffee Roasters,荃灣白田壩街45號南豐紗廠六廠地下G09號舖,荃灣,$51-100,多國菜,215,9,273,4.0,75,22.37806,114.10528
喜來稀肉,銅鑼灣登龍街41-51號金龍大廈地下3號舖及1樓,銅鑼灣,$101-200,韓國菜,225,7,275,4.0,150,22.28056,114.18667
Penthouse,銅鑼灣登龍街1-29號金朝陽中心2期Midtown30樓,銅鑼灣,$401-800,西式,230,12,276,4.0,600,22.28056,114.18667
烤魚工房,元朗教育路37號南天大厦地下8-9號舖,元朗,$101-200,川菜 (四川),232,9,277,4.0,150,22.44444,114.02583
一生懸麵,旺角通菜街73號地下,旺角,$51-100,日本菜,207,3,277,4.0,75,22.315031,114.173134
緣聚西日餐廳 (仁愛堂圍),屯門仁愛堂圍45號興泰大廈地下11A 2至8號地舖,屯門,$101-200,日本菜,217,4,278,3.5,150,22.395,113.97222
牛惣居酎屋,銅鑼灣登龍街28號永光中心22樓,銅鑼灣,$201-400,日本菜,270,2,280,4.5,300,22.28056,114.18667
Shahrazad Lebanese Dining Lounge & Bar,中環雲咸街75-77號嘉兆商業大廈2樓,中環,$201-400,中東菜,238,5,281,4.5,300,22.282598,114.16674
鬼金棒,尖沙咀金馬倫道20號地舖,尖沙咀,$101-200,日本菜,248,1,282,4.5,150,22.2988,114.1722
Tipsy Restaurant & Bar,大坑銅鑼灣道98號1樓,大坑,$201-400,多國菜,248,9,282,4.5,300,22.2752,114.1937
老媽拌麵 (荃灣廣場),荃灣大壩街4-30號荃灣廣場4樓441A號舖,荃灣,$50以下,台灣菜,213,18,282,4.0,50,22.37806,114.10528
牛県,荃灣享和街49號地下D1號舖,荃灣,$101-200,日本菜,270,1,283,4.5,150,22.37806,114.10528
FRITES Belgium on Tap (曦巒),銅鑼灣希雲街38號曦巒地下1號舖,銅鑼灣,$201-400,比利時菜,237,2,283,4.0,300,22.28056,114.18667
香港永年車仔麵茶冰廳,沙田沙田正街18號新城市廣場L1樓113號舖,沙田,$51-100,港式,239,9,283,4.5,75,22.3827,114.19191
Burger Joys (士丹利街),中環士丹利街82號地舖,中環,$101-200,美國菜,257,3,284,4.5,150,22.282598,114.16674
La Vache!,尖沙咀赫德道12號地下,尖沙咀,$201-400,法國菜,195,6,284,4.0,300,22.2988,114.1722
餃掂手工餃子雲吞專門店,銅鑼灣景隆街19號地舖,銅鑼灣,$50以下,粵菜 (廣東),247,6,284,4.0,50,22.28056,114.18667
La Paloma,西環西營盤皇后大道西189號西浦1樓,西環,$201-400,西班牙菜,255,6,285,4.5,300,22.28352441,114.1401891
霸嗎拉麵 (屯門市廣場),屯門屯順街1號屯門市廣場1期3樓3233號舖,屯門,$51-100,日本菜,170,31,285,4.0,75,22.395,113.97222
Wingman (閣麟街),中環閣麟街37-43號祥興商業大廈6樓,中環,$101-200,西式,260,1,286,4.5,150,22.282598,114.16674
百味川,葵芳葵富路7號葵涌廣場地下A39號舖,葵芳,$50以下,川菜 (四川),228,9,286,4.0,50,22.3578,114.1298
蝦麵店 (荃新天地),荃灣楊屋道1號荃新天地一期1樓108及110號舖,荃灣,$51-100,馬來西亞菜,216,11,286,4.0,75,22.37806,114.10528
石鍋堂,旺角通菜街2A-2P號鴻光大廈地下D號舖,旺角,$51-100,日本菜,227,7,287,4.0,75,22.315031,114.173134
樓下冰室,荃灣荃華街16號荃薈商場地下G45-G54號舖,荃灣,$51-100,港式,257,5,287,4.5,75,22.37806,114.10528
犇之食堂,銅鑼灣白沙道11號地舖,銅鑼灣,$101-200,台灣菜,191,6,288,4.0,150,22.28056,114.18667
BRICK LANE (利園),銅鑼灣禮頓道111號利園六期地下G01,銅鑼灣,$101-200,英國菜,219,15,289,4.0,150,22.28056,114.18667
Boholic,長沙灣福華街561號君凱豪庭地舖及1樓,長沙灣,$101-200,西式,238,9,292,4.0,150,22.3358,114.1495
Zeng,銅鑼灣登龍街18號V Point 30樓,銅鑼灣,$201-400,日本菜,239,1,292,4.5,300,22.28056,114.18667
唐宮小聚 (荃新天地),荃灣楊屋道1號荃新天地1期UG層43及81號舖,荃灣,$201-400,粵菜 (廣東),171,15,292,4.0,300,22.37806,114.10528
夏捌月,元朗媽橫路7號富來花園A座地下15號舖,元朗,$101-200,西式,228,11,293,4.0,150,22.44444,114.02583
鳴越越式料理,中環德輔道中144-148號安泰大廈地庫,中環,$51-100,越南菜,243,4,293,4.0,75,22.282598,114.16674
呦呦鹿鳴布丁燒,葵芳葵富路7號葵涌廣場3樓TOP世界3069-T5-T6號舖,葵芳,$50以下,日本菜,221,5,294,4.0,50,22.3578,114.1298
Aroma Dessert Cafe,荃灣鱟地坊38-46號祐強樓地下42號舖,荃灣,$51-100,西式,178,17,294,4.0,75,22.37806,114.10528
阿閒泰,尖沙咀河內道18號K11購物藝術館2樓219號舖,尖沙咀,$101-200,泰國菜,262,8,296,4.5,150,22.2988,114.1722
Ann Mamma Thai kitchen by 張秀玲,荃灣曹公坊11號地舖,荃灣,$101-200,泰國菜,262,2,296,4.5,150,22.37806,114.10528
Dear Lilly,中環金融街8號國際金融中心商場4樓4010號舖,中環,$201-400,西式,138,23,296,4.0,300,22.282598,114.16674
WM Café & Bar (八號花園),大埔安慈路2號八號花園地下20號舖,大埔,$51-100,西式,251,13,298,4.0,75,22.448,114.16946000000002
Le Cafe (香港諾富特世紀酒店),灣仔謝斐道238號香港諾富特世紀酒店1樓,灣仔,$201-400,西式,195,37,299,3.5,300,22.2775,114.17306
Morton's of Chicago,尖沙咀彌敦道20號香港喜來登酒店4樓,尖沙咀,$801以上,美國菜,223,10,301,4.0,801,22.2988,114.1722
麻辣風雲,荃灣海壩街108-114號荃碧大廈1樓,荃灣,$101-200,川菜 (四川),250,8,302,4.0,150,22.37806,114.10528
kikusan,銅鑼灣軒尼詩道500號希慎廣場13樓1301號舖,銅鑼灣,$101-200,滬菜 (上海),191,10,303,4.0,150,22.28056,114.18667
The Point - Pizza & Pasta (將軍澳中心),將軍澳唐德街9號將軍澳中心地下G01及G02號舖,將軍澳,$101-200,意大利菜,247,12,304,4.0,150,22.309093,114.261688
8鍋臭臭鍋 (謝斐道),銅鑼灣謝斐道440號駱克大廈A座地下E舖,銅鑼灣,$101-200,台灣菜,258,10,306,4.0,150,22.28056,114.18667
FAB Kitchen,荔枝角長沙灣道883號億利工業中心7樓704號舖,荔枝角,$101-200,西式,278,5,306,4.5,150,22.33611,114.13361
旺記冰室 (建利大廈),灣仔謝斐道142號建利大廈地舖,灣仔,$51-100,港式,185,13,306,4.0,75,22.2775,114.17306
老厝邊,大角咀埃華街92號地下,大角咀,$51-100,台灣菜,253,11,306,4.0,75,22.3198,114.1621
逸之燒,元朗鳳攸南街9號好順利大廈2座商場地下 57 號舖,元朗,$201-400,日本菜,278,8,307,4.5,300,22.44444,114.02583
我愛慢煮 (孖沙街),上環孖沙街15-17號孖寶樓地舖,上環,$101-200,多國菜,268,10,308,4.5,150,22.28694,114.14861
元札幌拉麵 (悅來坊),荃灣荃華街3號悅來坊B1樓B121號舖,荃灣,$51-100,日本菜,282,7,309,4.0,75,22.37806,114.10528
去滾,銅鑼灣登龍街1號金朝陽中心2期Midtown27樓,銅鑼灣,$201-400,港式,290,4,310,4.5,300,22.28056,114.18667
廚十三老壇酸菜魚 (渣甸街),銅鑼灣渣甸街66號亨環4樓,銅鑼灣,$201-400,川菜 (四川),237,19,310,4.0,300,22.28056,114.18667
Pillowtalk Restaurant & Bar,屯門青棉徑5號金寶大廈地下6號舖,屯門,$101-200,西式,277,2,311,4.5,150,22.395,113.97222
BRICK LANE (中信大廈),金鐘添美道1號中信大廈4樓404號舖,金鐘,$101-200,英國菜,229,20,312,4.0,150,22.2796,114.1655
極尚大瀛喜日本料理,元朗朗日路9號形點1期2樓2001A舖,元朗,$201-400,日本菜,225,7,312,4.0,300,22.44444,114.02583
班蘭葉印尼美食,銅鑼灣糖街1-5號銅鑼灣商業大廈地下B2舖,銅鑼灣,$51-100,印尼菜,285,1,312,4.5,75,22.28056,114.18667
魚一壽司,元朗教育路68號兆豐樓地下7號舖,元朗,$51-100,日本菜,231,13,312,4.0,75,22.44444,114.02583
素年,深水埗福華街191-199號福隆大廈1號地舖,深水埗,$101-200,日本菜,255,0,313,4.5,150,22.32917,114.16028
蟹仙海鮮蒸氣鍋 (龍崗道),九龍城龍崗道2-4號地下,九龍城,$201-400,港式,283,10,313,4.5,300,22.31944,114.17778
The 5B Private Corner,荃灣柴灣角街38-40號銓通工業大廈5樓B室,荃灣,$51-100,西式,266,5,313,4.0,75,22.37806,114.10528
火狐爐端燒,荃灣四陂坊12號雅緻大廈地舖,荃灣,$101-200,日本菜,291,2,314,4.5,150,22.37806,114.10528
馬辣台式鴛鴦火鍋 (大鴻輝(荃灣)中心),荃灣眾安街55號大鴻輝(荃灣)中心8樓,荃灣,$101-200,台灣菜,224,12,314,4.0,150,22.37806,114.10528
E Molto Buono,銅鑼灣霎西街28號必發商業大廈2樓,銅鑼灣,$401-800,意大利菜,299,4,314,4.5,600,22.28056,114.18667
轉角‧見,荃灣西樓角路202-216號荃昌中心昌寧大廈地下66號舖,荃灣,$50以下,西式,206,12,314,4.0,50,22.37806,114.10528
鬼金棒,銅鑼灣謝斐道530號地舖,銅鑼灣,$101-200,日本菜,279,3,315,4.5,150,22.28056,114.18667
豊勝手丼,銅鑼灣登龍街18號V Point 地下3號舖,銅鑼灣,$201-400,日本菜,290,5,315,4.5,300,22.28056,114.18667
The Lounge (香港JW萬豪酒店),金鐘金鐘道88號太古廣場香港JW萬豪酒店大堂,金鐘,$201-400,西式,208,19,315,4.0,300,22.2796,114.1655
緣聚鮮鍋,荃灣眾安街55號大鴻輝(荃灣)中心3樓,荃灣,$201-400,港式,246,20,315,4.0,300,22.37806,114.10528
鮮芋仙,銅鑼灣登龍街18號V Point 地下1號舖,銅鑼灣,$50以下,台灣菜,161,9,315,4.0,50,22.28056,114.18667
Samsen 泰麵,灣仔石水渠街68號地下,灣仔,$101-200,泰國菜,215,21,316,4.0,150,22.2775,114.17306
CIAK - All Day Italian (太古城中心),太古太古城道18號太古城中心2期2樓265號舖,太古,$201-400,意大利菜,253,21,316,4.0,300,22.287,114.2198
仙后餐廳,灣仔皇后大道東213號胡忠大廈2樓,灣仔,$401-800,法國菜,182,16,316,4.0,600,22.2775,114.17306
岩浪天扶良日本料理,銅鑼灣軒尼詩道525號澳門逸園中心9樓,銅鑼灣,$401-800,日本菜,277,16,316,4.0,600,22.28056,114.18667
Greenhouse,銅鑼灣勿地臣街1號時代廣場食通天10樓1004號舖,銅鑼灣,$101-200,西式,195,20,317,4.0,150,22.28056,114.18667
喜來稀肉,旺角廣華街3號百利達廣場地庫,旺角,$101-200,韓國菜,247,13,318,4.0,150,22.315031,114.173134
九份•十分 (T Town ),天水圍天華路30號T Town南翼 2樓201號舖,天水圍,$51-100,台灣菜,256,11,318,4.0,75,22.4606,114.0042
屋子生活,馬鞍山烏溪沙路8號迎海薈地下4A舖,馬鞍山,$51-100,日本菜,169,18,318,3.5,75,22.4277,114.2403
德美壽司,將軍澳貿業路8號新都城中心1期地下99-100號舖,將軍澳,$101-200,日本菜,267,7,319,4.0,150,22.309093,114.261688
御の味,灣仔軒尼詩道256號The Hennessy 3樓,灣仔,$401-800,日本菜,280,16,319,4.5,600,22.2775,114.17306
野川拉麵の深燒食堂,元朗又新街40-48號榮豐大廈地下B號舖,元朗,$51-100,日本菜,274,10,319,4.0,75,22.44444,114.02583
Jacomax,上環永樂街38-42號東成商業大廈地下C舖,上環,$101-200,意大利菜,261,6,320,4.0,150,22.28694,114.14861
BRICK LANE Deli,沙田沙田正街18號新城市廣場一期1樓126號舖,沙田,$101-200,英國菜,168,44,321,3.5,150,22.3827,114.19191
Pause It,旺角山東街84號地下,旺角,$51-100,西式,226,5,321,4.0,75,22.315031,114.173134
La Crêperie,灣仔皇后大道東100-102號鉅芝樓1樓,灣仔,$101-200,法國菜,231,11,322,4.0,150,22.2775,114.17306
Mokumoku Yakiton (永光商業大廈),銅鑼灣軒尼詩道499號永光商業大廈7樓,銅鑼灣,$201-400,日本菜,312,0,322,4.5,300,22.28056,114.18667
Le Rêve,銅鑼灣耀華街38號Zing! 10樓,銅鑼灣,$401-800,日本菜,277,10,322,4.5,600,22.28056,114.18667
Chotto Maki,中環利源西街3號地下,中環,$51-100,日本菜,298,0,322,4.5,75,22.282598,114.16674
校長燒肉日韓料理,荃灣沙咀道298號翡翠廣場2樓,荃灣,$101-200,韓國菜,248,12,323,4.0,150,22.37806,114.10528
Homeland (東昌街),大埔東昌街2號地舖,大埔,$101-200,西式,281,6,325,4.5,150,22.448,114.16946000000002
荳子 (新城市中央廣場),沙田鄉事會路138號新城市中央廣場5樓503號舖,沙田,$101-200,西式,219,6,327,4.0,150,22.3827,114.19191
虎鐵鐵板燒,銅鑼灣軒尼詩道525號澳門逸園中心12樓,銅鑼灣,$201-400,日本菜,315,2,327,4.5,300,22.28056,114.18667
千葉鳥,天水圍天瑞路71-77號天澤商場1樓113E號舖,天水圍,$101-200,日本菜,282,3,332,4.5,150,22.4606,114.0042
La Postre (永樂街),上環永樂街50號昌盛大廈3樓,上環,$201-400,西班牙菜,265,16,332,4.0,300,22.28694,114.14861
ChaTraMue,銅鑼灣渣甸街49號地舖,銅鑼灣,$50以下,泰國菜,220,14,334,4.0,50,22.28056,114.18667
Tartes & Pop,上環摩利臣街2號地舖,上環,$50以下,法國菜,297,0,334,4.5,50,22.28694,114.14861
一起食堂 (域多利皇后街),中環域多利皇后街2號地舖,中環,$51-100,台灣菜,281,7,334,4.0,75,22.282598,114.16674
鮨文,紅磡黃埔天地聚寶坊(第11期)地下G22A號舖,紅磡,$801以上,日本菜,312,9,334,4.5,801,22.30778,114.18722
Goobne Chicken (威靈頓街),中環威靈頓街2-8號威靈頓廣場M88 5樓,中環,$101-200,韓國菜,282,10,335,4.0,150,22.282598,114.16674
鳥棲日本料理,觀塘開源道60號駱駝漆大廈3座5樓S舖,觀塘,$101-200,日本菜,293,3,335,4.0,150,22.31056,114.22278
Nardo's Cafe,旺角彌敦道594-596號旺角新城8樓,旺角,$101-200,西式,280,9,335,4.0,150,22.315031,114.173134
胡爐,銅鑼灣耀華街3號百樂中心3樓,銅鑼灣,$201-400,港式,321,1,335,4.5,300,22.28056,114.18667
莆田 (形點),元朗元龍街9號形點一期2樓2040號舖,元朗,$101-200,閩菜 (福建),300,4,338,4.0,150,22.44444,114.02583
Oldish,上環東街53號地舖,上環,$101-200,英國菜,255,15,340,4.0,150,22.28694,114.14861
燈籠滷味 (登龍街),銅鑼灣登龍街39號地下,銅鑼灣,$51-100,台灣菜,229,22,340,4.0,75,22.28056,114.18667
1963 木十豆寸,灣仔灣仔道110號中匯大樓2樓,灣仔,$101-200,台灣菜,167,50,341,3.5,150,22.2775,114.17306
八妹雞煲,大埔舊墟直街4-20號美新大廈地下A1號舖,大埔,$101-200,川菜 (四川),298,8,342,4.0,150,22.448,114.16946000000002
稚,元朗俊賢坊18號權益大樓3號舖,元朗,$51-100,日本菜,297,6,342,4.5,75,22.44444,114.02583
意粉狂熱 (皇室堡),銅鑼灣告士打道311號皇室堡2樓203-204號舖,銅鑼灣,$101-200,意大利菜,268,15,343,4.0,150,22.28056,114.18667
Story Steak & Pasta,元朗鳳攸南街9號好順利大廈地下3號舖,元朗,$101-200,意大利菜,263,16,343,4.0,150,22.44444,114.02583
坐忘,天后電氣道127號地舖,天后,$51-100,日本菜,231,10,345,4.0,75,22.2824,114.1922
Five Guys,灣仔莊士敦道60號地舖,灣仔,$51-100,美國菜,155,38,345,3.5,75,22.2775,114.17306
巧得鍋,觀塘成業街15-17號成運工業大廈1樓12-14舖,觀塘,$201-400,港式,278,16,346,4.0,300,22.31056,114.22278
URBAN Cafe (駱駝漆大廈),觀塘開源道62號駱駝漆大廈第1座6樓,觀塘,$201-400,西式,313,4,347,4.5,300,22.31056,114.22278
天吉屋,旺角亞皆老街8號朗豪坊11樓25-29號舖,旺角,$101-200,日本菜,268,21,348,4.0,150,22.315031,114.173134
亞蘇爾 (形點),元朗元龍街9號形點1期2樓2056號舖,元朗,$101-200,葡國菜,282,9,348,4.0,150,22.44444,114.02583
Café Crêpe,中環威靈頓街15B號地舖,中環,$101-200,多國菜,300,6,349,4.5,150,22.282598,114.16674
Mimila,沙田沙田正街18號新城市廣場1期7樓704號舖,沙田,$101-200,馬來西亞菜,250,18,349,4.0,150,22.3827,114.19191
孖寶車仔麵,葵芳葵富路7號葵涌廣場地下A15號舖,葵芳,$50以下,港式,282,10,351,4.0,50,22.3578,114.1298
hEat,灣仔皇后大道東202號QRE Plaza 23樓,灣仔,$401-800,地中海菜,327,8,352,4.5,600,22.2775,114.17306
雅高·33,荃灣沙咀道328號寶石大廈地下21號舖,荃灣,$51-100,意大利菜,268,21,352,4.0,75,22.37806,114.10528
芝加哥串燒酒場,大埔大埔太和路15號太和中心地下37號舖,大埔,$101-200,港式,333,2,353,4.5,150,22.448,114.16946000000002
Lady M,銅鑼灣加寧街1-3號Fashion Walk地下C號舖,銅鑼灣,$51-100,西式,252,7,354,4.0,75,22.28056,114.18667
鳥語,尖沙咀厚福街12-12A號藍馬商業大廈10樓,尖沙咀,$101-200,日本菜,202,33,356,3.5,150,22.2988,114.1722
Mokumoku Yakiton (厚福街),尖沙咀厚福街12號藍馬商業大廈16樓,尖沙咀,$201-400,日本菜,345,2,356,4.5,300,22.2988,114.1722
龍門一番 上海·紫砂燉湯,荃灣青山公路荃灣段388號中染大廈(8咪半)1樓105號舖,荃灣,$101-200,滬菜 (上海),253,16,357,4.0,150,22.37806,114.10528
泰海鮮,屯門三聖街6號三聖商場地下5-8及14-16舖,屯門,$201-400,泰國菜,299,15,357,4.0,300,22.395,113.97222
泰濃麵 (樂道),尖沙咀樂道7號嘉樂大廈地下A舖,尖沙咀,$51-100,泰國菜,295,7,357,4.0,75,22.2988,114.1722
Goobne Chicken (荃新天地),荃灣楊屋道1號荃新天地一期地下G29號舖,荃灣,$101-200,韓國菜,280,9,358,4.0,150,22.37806,114.10528
坐忘,鰂魚涌濱海街13號中興大廈地下,鰂魚涌,$51-100,日本菜,262,9,358,4.0,75,22.28306,114.21278
鳥山名,荃灣青山公路荃灣段398號愉景新城1樓1025-1026號舖,荃灣,$201-400,日本菜,307,4,359,4.0,300,22.37806,114.10528
叉燒大王,沙田沙田大涌橋路20號河畔花園D座地下39號舖,沙田,$51-100,港式,290,17,359,4.0,75,22.3827,114.19191
中環茶記,中環威靈頓66號裕榮大廈地舖,中環,$51-100,粵菜 (廣東),311,11,362,4.0,75,22.282598,114.16674
自助山,灣仔皇后大道東183號合和中心62樓,灣仔,$401-800,多國菜,195,29,363,4.0,600,22.2775,114.17306
熊小館,九龍灣宏照道38號企業廣場5期Megabox 11樓,九龍灣,$51-100,西式,320,5,363,4.5,75,22.3081,114.2019
蟲二,旺角上海街618號頂樓,旺角,$101-200,日本菜,245,29,364,4.0,150,22.315031,114.173134
牧羊少年咖啡館 (葵青劇院),葵芳興寧路12號葵青劇院地下2號舖,葵芳,$101-200,西式,201,14,364,3.5,150,22.3578,114.1298
Layback Cafe & Bar,尖沙咀加連威老道41號C-D嘉威大厦4樓B室,尖沙咀,$101-200,多國菜,313,13,365,4.0,150,22.2988,114.1722
牛繁 (MW Plaza),尖沙咀金巴利道40號MW Plaza地舖,尖沙咀,$201-400,日本菜,306,12,365,4.0,300,22.2988,114.1722
Top Blade Steak Lab (希慎道),銅鑼灣希慎道2-4號地舖,銅鑼灣,$101-200,西式,335,6,366,4.5,150,22.28056,114.18667
Noc Noc,大埔舊墟直街28號榮麗苑地下B號舖,大埔,$101-200,多國菜,334,3,366,4.0,150,22.448,114.16946000000002
餃子屋,荃灣西樓角路202-216荃昌商場1樓58號舖,荃灣,$50以下,京川滬,241,12,367,4.0,50,22.37806,114.10528
La Moo Moo' s Steak and Fries,灣仔軒尼詩道239號18樓,灣仔,$201-400,澳洲菜,348,6,368,4.5,300,22.2775,114.17306
凡直友里,元朗又新街53-59號滿利大廈地下,元朗,$101-200,多國菜,321,4,369,4.5,150,22.44444,114.02583
立体派拉麵 (威靈頓街),中環威靈頓街27-29號元益大廈地庫,中環,$51-100,日本菜,253,14,369,4.0,75,22.282598,114.16674
SuperNormal,九龍灣牛頭角道77號淘大商場2期地下196-199號舖,九龍灣,$101-200,意大利菜,339,0,370,4.5,150,22.3081,114.2019
